EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-17.614,-10.523,-12.640,-18.121,-6.483,-0.366,-2.485,-7.727,-0.071,0.997,-0.038,0.671,3.174,-0.061,80.000,8185.000,1.000
-16.374,-9.338,-11.092,-15.672,-5.130,2.462,0.542,-4.579,-0.070,0.997,-0.038,0.702,3.265,-0.031,80.000,8186.000,1.000
-15.454,-8.716,-10.182,-13.497,-5.037,3.209,2.018,-1.468,-0.069,0.999,-0.038,0.793,3.265,-0.153,80.000,8187.000,1.000
-14.841,-9.546,-9.794,-12.238,-5.571,2.081,1.398,0.288,-0.071,1.002,-0.039,0.702,3.204,-0.244,80.000,8188.000,1.000
-14.205,-11.589,-9.560,-11.968,-6.046,-0.042,-0.904,0.265,-0.070,1.004,-0.040,0.702,3.296,-0.275,80.000,8189.000,1.000
-13.260,-13.184,-9.178,-11.986,-6.313,-2.128,-3.813,-0.683,-0.070,1.004,-0.040,0.702,3.174,-0.336,80.000,8190.000,1.000
-11.809,-12.647,-8.287,-11.305,-6.360,-3.441,-6.230,-1.306,-0.070,1.003,-0.038,0.732,3.204,-0.458,80.000,8191.000,1.000
-9.656,-9.943,-6.443,-9.515,-5.875,-3.819,-7.633,-1.228,-0.069,1.002,-0.042,0.641,3.204,-0.488,80.000,8192.000,1.000
-6.807,-6.651,-3.570,-7.110,-4.622,-3.639,-8.197,-1.129,-0.066,1.005,-0.042,0.702,3.174,-0.458,80.000,8193.000,1.000
-3.767,-4.308,-0.381,-4.954,-3.157,-3.554,-8.499,-1.771,-0.068,1.004,-0.039,0.610,3.113,-0.366,80.000,8194.000,1.000
-1.484,-3.213,1.846,-3.598,-2.736,-4.181,-9.164,-3.247,-0.068,1.003,-0.041,0.793,3.143,-0.458,80.000,8195.000,1.000
-0.759,-2.865,2.211,-3.115,-4.177,-5.768,-10.535,-5.242,-0.070,1.002,-0.038,0.854,3.143,-0.427,80.000,8196.000,1.000
-1.534,-2.950,1.028,-3.337,-6.851,-7.929,-12.415,-7.579,-0.068,1.002,-0.042,0.916,3.265,-0.427,80.000,8197.000,1.000
-2.735,-3.255,-0.257,-3.907,-8.967,-9.656,-13.992,-10.057,-0.067,0.999,-0.041,0.916,3.174,-0.488,80.000,8198.000,1.000
-2.918,-2.887,-0.056,-4.071,-8.911,-9.726,-14.110,-11.846,-0.066,0.998,-0.040,1.007,3.052,-0.366,80.000,8199.000,1.000
-1.353,-0.627,2.136,-2.962,-6.485,-7.602,-12.089,-11.777,-0.069,1.000,-0.044,1.099,3.082,-0.488,80.000,8200.000,1.000
1.417,3.455,5.359,-0.457,-2.926,-4.145,-8.562,-9.665,-0.070,0.999,-0.041,1.221,3.143,-0.519,80.000,8201.000,1.000
4.189,7.510,8.220,2.605,0.374,-1.041,-5.116,-6.789,-0.072,0.998,-0.042,1.404,3.113,-0.610,80.000,8202.000,1.000
6.223,9.655,10.226,5.336,3.098,0.725,-2.805,-4.558,-0.073,1.000,-0.042,1.465,3.113,-0.702,80.000,8203.000,1.000
7.619,9.859,11.831,7.657,5.768,1.575,-1.306,-2.971,-0.074,1.000,-0.040,1.434,2.991,-0.702,80.000,8204.000,1.000
8.772,9.732,13.459,10.089,8.673,2.574,0.426,-0.803,-0.075,1.001,-0.038,1.495,2.808,-0.824,80.000,8205.000,1.000
9.831,10.646,15.019,12.910,11.581,4.437,3.089,2.853,-0.077,1.003,-0.039,1.617,2.625,-0.977,80.000,8206.000,1.000
10.711,12.386,16.273,15.659,14.293,7.272,6.645,7.491,-0.075,1.004,-0.041,1.556,2.502,-1.068,80.000,8207.000,1.000
11.273,13.679,17.083,17.431,16.788,10.793,10.567,11.659,-0.076,1.004,-0.040,1.495,2.441,-1.190,80.000,8208.000,1.000
11.213,13.671,17.095,17.572,18.646,14.372,14.141,14.263,-0.076,1.005,-0.041,1.648,2.258,-1.129,80.000,8209.000,1.000
10.024,12.529,15.552,16.048,18.817,16.998,16.547,15.144,-0.074,1.007,-0.038,1.526,2.167,-1.038,80.000,8210.000,1.000
7.437,10.708,11.945,13.254,16.474,17.650,17.014,14.564,-0.073,1.010,-0.039,1.404,2.167,-1.038,80.000,8211.000,1.000
3.924,8.186,6.887,9.647,12.097,16.065,15.291,12.646,-0.073,1.012,-0.037,1.282,2.075,-1.038,80.000,8212.000,1.000
0.552,4.816,2.011,5.723,7.332,13.095,12.042,9.620,-0.070,1.012,-0.039,1.160,2.106,-1.007,80.000,8213.000,1.000
-1.709,1.186,-1.200,2.194,3.628,10.136,8.564,6.330,-0.070,1.012,-0.036,1.068,2.136,-0.885,80.000,8214.000,1.000
-2.628,-1.523,-2.535,-0.237,1.112,8.074,5.841,3.897,-0.070,1.014,-0.036,0.916,2.136,-0.702,80.000,8215.000,1.000
-2.770,-2.874,-3.039,-1.472,-1.097,6.673,3.844,2.681,-0.069,1.014,-0.037,0.854,2.136,-0.732,80.000,8216.000,1.000
-2.909,-3.859,-3.896,-2.146,-3.599,5.075,1.903,1.941,-0.068,1.013,-0.040,0.671,2.167,-0.702,80.000,8217.000,1.000
-3.390,-5.759,-5.408,-2.984,-6.041,2.806,-0.326,0.809,-0.068,1.010,-0.042,0.549,2.228,-0.519,80.000,8218.000,1.000
-4.043,-8.452,-7.036,-4.035,-7.724,0.231,-2.416,-0.610,-0.067,1.009,-0.037,0.427,2.228,-0.366,80.000,8219.000,1.000
