EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-11.826,-8.919,-7.412,-6.675,-6.228,0.811,-2.911,-3.249,-0.127,0.988,0.057,-0.244,0.153,-0.549,60.000,62385.000,1.000
-10.838,-9.761,-7.214,-5.972,-6.235,0.596,-1.212,-2.628,-0.125,0.986,0.058,0.061,0.214,-0.732,60.000,62386.000,1.000
-9.331,-9.579,-5.899,-4.382,-5.581,1.556,1.378,-0.653,-0.125,0.982,0.056,0.397,0.122,-0.916,60.000,62387.000,1.000
-7.955,-9.185,-4.287,-2.798,-5.023,2.339,3.167,1.291,-0.125,0.981,0.052,0.671,0.153,-1.099,60.000,62388.000,1.000
-7.628,-10.023,-3.988,-3.020,-5.613,0.843,2.363,0.988,-0.125,0.981,0.051,1.129,0.183,-1.190,60.000,62389.000,1.000
-8.750,-12.591,-5.581,-5.680,-7.781,-3.524,-1.420,-2.238,-0.125,0.979,0.049,1.617,0.305,-1.404,60.000,62390.000,1.000
-10.593,-15.553,-7.718,-9.199,-10.698,-8.896,-6.641,-6.590,-0.125,0.979,0.048,1.953,0.427,-1.465,60.000,62391.000,1.000
-11.771,-16.871,-8.461,-11.289,-12.747,-12.547,-10.889,-9.513,-0.128,0.979,0.050,2.319,0.549,-1.617,60.000,62392.000,1.000
-11.373,-15.723,-7.186,-11.114,-12.742,-13.254,-12.646,-10.068,-0.127,0.979,0.048,2.594,0.641,-1.801,60.000,62393.000,1.000
-9.459,-12.911,-4.707,-9.457,-10.620,-11.784,-12.044,-9.203,-0.127,0.977,0.049,2.991,0.732,-1.831,60.000,62394.000,1.000
-6.705,-9.693,-1.946,-7.221,-7.235,-9.449,-10.182,-8.122,-0.129,0.977,0.046,3.448,0.732,-1.831,60.000,62395.000,1.000
-3.987,-6.853,0.775,-4.700,-3.835,-6.943,-8.209,-7.228,-0.130,0.977,0.044,3.784,0.763,-2.014,60.000,62396.000,1.000
-2.124,-4.801,3.194,-2.270,-1.520,-4.558,-6.910,-6.584,-0.133,0.979,0.045,4.395,0.885,-2.106,60.000,62397.000,1.000
-1.613,-3.960,4.534,-0.992,-0.804,-2.839,-6.592,-6.593,-0.134,0.981,0.040,4.791,0.946,-2.136,60.000,62398.000,1.000
-2.472,-4.674,3.899,-1.948,-1.560,-2.509,-7.101,-7.683,-0.136,0.984,0.039,5.005,0.916,-2.167,60.000,62399.000,1.000
-4.303,-6.696,1.307,-4.935,-3.288,-3.640,-7.981,-9.418,-0.135,0.988,0.037,5.035,0.854,-2.228,60.000,62400.000,1.000
-6.486,-9.056,-2.009,-8.203,-5.364,-5.307,-8.698,-10.445,-0.135,0.990,0.037,5.310,0.885,-2.197,60.000,62401.000,1.000
-8.326,-10.648,-4.538,-9.758,-7.091,-6.276,-8.755,-9.565,-0.135,0.994,0.037,5.371,0.977,-2.106,60.000,62402.000,1.000
-9.124,-10.907,-5.614,-8.872,-7.714,-5.875,-7.695,-6.730,-0.139,0.999,0.036,5.554,0.854,-2.045,60.000,62403.000,1.000
-8.489,-9.988,-5.587,-6.292,-6.790,-4.263,-5.307,-2.952,-0.138,1.001,0.035,5.585,0.793,-1.892,60.000,62404.000,1.000
-6.756,-8.529,-5.130,-3.223,-4.690,-2.128,-1.966,0.664,-0.139,1.004,0.039,5.402,0.763,-1.770,60.000,62405.000,1.000
-4.819,-7.196,-4.537,-0.298,-2.405,-0.145,1.528,3.766,-0.138,1.008,0.036,5.127,0.580,-1.617,60.000,62406.000,1.000
-3.368,-6.415,-3.752,2.356,-0.719,1.318,4.501,6.584,-0.139,1.012,0.037,4.974,0.519,-1.373,60.000,62407.000,1.000
-2.500,-6.450,-2.948,4.344,0.236,2.001,6.622,9.069,-0.142,1.017,0.037,4.578,0.336,-1.129,60.000,62408.000,1.000
-1.840,-7.302,-2.493,5.103,0.809,1.739,7.852,10.823,-0.143,1.021,0.036,4.364,0.153,-0.824,60.000,62409.000,1.000
-0.866,-8.388,-2.221,4.900,1.423,0.851,8.445,11.910,-0.140,1.023,0.041,4.028,0.061,-0.549,60.000,62410.000,1.000
0.499,-8.907,-1.482,4.831,2.080,-0.038,8.640,12.904,-0.137,1.027,0.042,3.784,-0.122,-0.305,60.000,62411.000,1.000
1.609,-8.656,-0.092,5.538,2.321,-0.727,8.361,13.968,-0.136,1.034,0.045,3.235,-0.305,0.061,60.000,62412.000,1.000
1.731,-8.079,1.333,6.560,1.911,-1.542,7.456,14.577,-0.132,1.037,0.043,2.716,-0.458,0.427,60.000,62413.000,1.000
0.848,-7.551,2.152,7.152,1.307,-2.598,6.096,14.330,-0.130,1.038,0.048,2.228,-0.580,0.854,60.000,62414.000,1.000
-0.355,-6.911,2.493,7.360,1.236,-3.280,4.717,13.675,-0.125,1.037,0.048,1.709,-0.549,1.282,60.000,62415.000,1.000
-1.155,-5.781,3.051,7.903,1.964,-2.679,3.684,13.582,-0.123,1.034,0.050,1.251,-0.641,1.617,60.000,62416.000,1.000
-1.214,-4.154,4.190,9.103,3.191,-0.513,3.157,14.560,-0.122,1.032,0.050,0.916,-0.702,1.923,60.000,62417.000,1.000
-0.513,-2.525,5.490,10.281,4.550,2.510,3.202,16.104,-0.120,1.026,0.051,0.549,-0.763,2.289,60.000,62418.000,1.000
0.731,-1.484,6.195,10.393,5.864,5.274,3.837,17.222,-0.120,1.023,0.052,0.214,-0.916,2.502,60.000,62419.000,1.000
2.082,-1.171,6.045,9.203,6.987,7.153,5.028,17.540,-0.120,1.013,0.052,0.122,-0.916,2.777,60.000,62420.000,1.000
3.142,-1.123,5.592,7.646,7.731,8.348,6.660,17.657,-0.123,1.008,0.053,0.183,-1.038,2.808,60.000,62421.000,1.000
