EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-3.814,5.302,-1.113,-3.030,0.499,7.010,5.447,3.229,-0.086,1.001,-0.052,0.916,3.235,-0.458,80.000,7625.000,1.000
-4.129,5.606,-0.875,-3.022,1.109,7.072,5.202,3.350,-0.087,1.001,-0.051,0.916,3.174,-0.458,80.000,7626.000,1.000
-4.157,4.785,-0.480,-3.668,1.665,6.866,4.537,2.609,-0.088,0.999,-0.053,0.977,3.082,-0.488,80.000,7627.000,1.000
-3.790,4.430,-0.001,-4.153,1.782,6.791,3.914,2.147,-0.088,1.000,-0.052,0.885,3.082,-0.488,80.000,7628.000,1.000
-3.217,5.065,0.377,-4.120,1.244,6.546,3.129,2.173,-0.089,0.999,-0.052,0.854,3.113,-0.519,80.000,7629.000,1.000
-2.410,5.739,0.942,-3.733,0.691,5.649,1.833,2.005,-0.088,0.999,-0.053,0.977,3.021,-0.549,80.000,7630.000,1.000
-1.183,5.510,2.127,-3.257,0.952,4.117,0.211,1.184,-0.087,0.998,-0.055,0.977,3.143,-0.580,80.000,7631.000,1.000
0.311,4.765,3.707,-2.797,1.894,2.421,-1.128,0.076,-0.088,0.998,-0.058,1.038,3.052,-0.580,80.000,7632.000,1.000
1.484,4.711,4.818,-2.398,2.541,1.066,-1.732,-0.644,-0.089,0.998,-0.057,1.038,2.960,-0.549,80.000,7633.000,1.000
1.818,5.712,4.866,-2.287,2.331,0.314,-1.659,-0.932,-0.090,0.999,-0.055,0.977,2.899,-0.641,80.000,7634.000,1.000
1.476,6.809,4.204,-2.718,1.873,0.264,-1.228,-1.388,-0.090,1.000,-0.053,0.946,2.899,-0.610,80.000,7635.000,1.000
1.344,7.184,3.862,-3.398,2.322,1.092,-0.433,-2.129,-0.090,1.001,-0.055,0.916,2.930,-0.671,80.000,7636.000,1.000
2.247,7.432,4.550,-3.394,4.072,2.887,1.084,-2.191,-0.089,1.003,-0.053,0.946,2.838,-0.549,80.000,7637.000,1.000
4.162,8.708,5.994,-1.990,6.280,5.153,3.287,-0.622,-0.089,1.005,-0.056,0.793,2.899,-0.549,80.000,7638.000,1.000
6.379,10.915,7.373,0.479,7.809,6.760,5.243,2.034,-0.088,1.002,-0.057,0.854,2.777,-0.519,80.000,7639.000,1.000
8.337,12.506,8.313,2.887,8.322,6.614,5.657,3.925,-0.086,1.003,-0.053,0.763,2.747,-0.397,80.000,7640.000,1.000
10.074,12.371,9.212,4.443,8.282,4.542,4.030,3.741,-0.089,1.003,-0.054,0.793,2.686,-0.427,80.000,7641.000,1.000
11.905,11.384,10.602,5.425,8.129,1.549,1.217,2.081,-0.090,1.002,-0.055,0.763,2.716,-0.366,80.000,7642.000,1.000
13.879,11.421,12.438,6.692,7.862,-0.936,-1.296,0.720,-0.089,1.002,-0.054,0.763,2.594,-0.366,80.000,7643.000,1.000
15.709,13.042,14.251,8.606,7.487,-2.116,-2.562,0.756,-0.089,1.000,-0.053,0.824,2.594,-0.305,80.000,7644.000,1.000
17.123,14.868,15.757,10.650,7.413,-2.157,-2.615,1.828,-0.088,1.000,-0.050,0.854,2.533,-0.275,80.000,7645.000,1.000
18.074,15.399,16.982,12.065,8.025,-1.658,-2.005,3.027,-0.088,1.002,-0.048,0.793,2.502,-0.275,80.000,7646.000,1.000
18.599,14.793,17.801,12.595,8.951,-1.019,-1.187,4.030,-0.090,1.002,-0.052,0.885,2.533,-0.214,80.000,7647.000,1.000
18.559,14.287,17.687,12.401,9.158,-0.420,-0.475,4.956,-0.089,1.001,-0.050,0.702,2.594,-0.153,80.000,7648.000,1.000
17.828,14.337,16.297,11.566,8.043,-0.030,-0.247,5.509,-0.087,1.001,-0.052,0.763,2.533,-0.214,80.000,7649.000,1.000
16.785,14.239,14.297,10.146,6.328,0.200,-0.687,5.050,-0.088,1.000,-0.049,0.732,2.625,-0.214,80.000,7650.000,1.000
16.303,13.613,13.106,8.655,5.495,0.803,-1.348,3.638,-0.089,0.999,-0.053,0.580,2.533,-0.275,80.000,7651.000,1.000
16.915,13.359,13.546,7.984,6.236,2.369,-1.371,2.399,-0.089,1.002,-0.050,0.671,2.655,-0.153,80.000,7652.000,1.000
