EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-22.894,-20.718,-21.354,-20.902,-13.347,-9.778,-8.496,-13.631,0.068,0.951,-0.353,-3.845,5.005,-2.380,73.333,77353.000,1.000
-23.723,-21.494,-23.069,-23.201,-15.923,-11.096,-10.932,-17.037,0.067,0.951,-0.353,-3.815,5.249,-2.380,73.333,77354.000,1.000
-22.276,-20.274,-23.479,-23.820,-16.976,-10.790,-11.568,-18.713,0.066,0.949,-0.355,-3.815,5.493,-2.350,73.333,77355.000,1.000
-18.891,-17.824,-22.417,-22.934,-16.126,-9.056,-10.349,-18.534,0.067,0.947,-0.355,-3.784,5.676,-2.411,73.333,77356.000,1.000
-14.557,-14.654,-20.334,-20.951,-14.002,-6.628,-7.864,-16.787,0.070,0.947,-0.353,-3.693,5.951,-2.472,73.333,77357.000,1.000
-10.508,-11.355,-18.143,-18.336,-11.892,-4.568,-5.348,-14.155,0.067,0.947,-0.350,-3.693,6.134,-2.502,73.333,77358.000,1.000
-7.786,-9.038,-16.674,-15.776,-10.845,-3.835,-4.101,-11.719,0.067,0.945,-0.350,-3.601,6.195,-2.380,73.333,77359.000,1.000
-6.919,-8.760,-16.203,-14.198,-11.011,-4.664,-4.533,-10.533,0.068,0.946,-0.350,-3.357,6.348,-2.350,73.333,77360.000,1.000
-7.841,-10.411,-16.535,-14.355,-11.908,-6.333,-5.946,-10.991,0.069,0.947,-0.349,-3.326,6.500,-2.350,73.333,77361.000,1.000
-9.875,-12.489,-17.266,-16.040,-12.993,-7.621,-7.226,-12.470,0.073,0.948,-0.351,-3.235,6.561,-2.289,73.333,77362.000,1.000
-11.746,-13.218,-17.779,-17.724,-13.724,-7.602,-7.586,-13.583,0.076,0.948,-0.351,-3.326,6.836,-2.472,73.333,77363.000,1.000
-12.173,-12.066,-17.377,-17.629,-13.529,-6.273,-6.933,-13.220,0.081,0.951,-0.353,-3.296,7.019,-2.502,73.333,77364.000,1.000
-10.932,-10.175,-15.933,-15.517,-12.314,-4.607,-5.843,-11.556,0.081,0.951,-0.354,-3.265,7.477,-2.350,73.333,77365.000,1.000
-9.035,-9.027,-14.131,-12.878,-10.681,-3.677,-4.939,-9.684,0.086,0.952,-0.352,-3.357,7.874,-2.380,73.333,77366.000,1.000
-7.469,-8.718,-12.632,-11.017,-9.186,-3.551,-4.155,-8.127,0.090,0.951,-0.355,-3.479,8.270,-2.380,73.333,77367.000,1.000
-6.196,-8.060,-11.371,-9.731,-7.749,-3.408,-2.962,-6.385,0.097,0.949,-0.358,-3.418,8.850,-2.441,73.333,77368.000,1.000
-4.680,-6.433,-9.981,-8.273,-6.089,-2.762,-1.328,-4.174,0.105,0.950,-0.356,-3.510,9.521,-2.533,73.333,77369.000,1.000
-2.915,-4.762,-8.581,-6.867,-4.448,-2.131,0.003,-2.403,0.109,0.950,-0.354,-3.662,10.315,-2.655,73.333,77370.000,1.000
-1.460,-4.254,-7.710,-6.476,-3.503,-2.314,0.274,-2.236,0.112,0.951,-0.356,-3.723,11.139,-2.808,73.333,77371.000,1.000
-0.646,-4.752,-7.580,-7.310,-3.609,-3.334,-0.473,-3.506,0.115,0.952,-0.356,-3.967,12.054,-3.082,73.333,77372.000,1.000
