EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
6.285,12.922,10.218,10.934,14.216,16.572,9.166,9.930,-0.169,1.002,0.094,0.977,2.319,0.916,60.000,20057.000,1.000
6.249,13.560,9.456,10.005,15.164,17.477,9.709,10.771,-0.167,1.002,0.095,0.977,2.167,0.977,60.000,20058.000,1.000
4.839,13.530,7.485,8.014,15.619,18.446,10.776,11.928,-0.167,1.000,0.094,0.916,1.984,0.977,60.000,20059.000,1.000
2.675,13.398,5.617,6.478,15.497,19.977,12.357,14.045,-0.167,1.001,0.095,0.824,1.984,1.007,60.000,20060.000,1.000
1.108,13.664,4.808,6.005,15.356,21.903,14.457,16.679,-0.165,1.000,0.094,0.610,1.831,1.038,60.000,20061.000,1.000
1.161,14.255,4.978,5.991,15.691,23.339,16.741,18.547,-0.165,0.999,0.094,0.580,1.709,1.007,60.000,20062.000,1.000
2.750,14.812,5.625,5.948,16.312,23.643,18.623,18.975,-0.166,1.001,0.094,0.610,1.556,1.099,60.000,20063.000,1.000
4.978,15.281,6.670,6.417,16.626,23.111,19.837,18.677,-0.166,0.999,0.096,0.549,1.465,1.038,60.000,20064.000,1.000
6.858,15.779,8.149,7.998,16.242,22.232,20.418,18.602,-0.164,0.997,0.091,0.549,1.282,1.007,60.000,20065.000,1.000
7.770,16.079,9.416,10.006,15.250,20.776,20.345,18.545,-0.166,0.996,0.092,0.549,1.160,0.946,60.000,20066.000,1.000
7.729,16.009,9.607,11.117,14.300,18.563,19.948,17.784,-0.165,0.994,0.096,0.641,1.068,1.038,60.000,20067.000,1.000
7.358,16.164,8.905,11.187,14.316,16.585,20.164,16.659,-0.164,0.993,0.095,0.641,0.946,0.977,60.000,20068.000,1.000
7.176,17.328,8.389,11.286,15.585,16.184,21.502,16.335,-0.165,0.993,0.095,0.671,0.793,1.007,60.000,20069.000,1.000
6.908,19.085,8.420,11.743,17.183,17.238,23.024,16.923,-0.163,0.992,0.094,0.732,0.732,0.885,60.000,20070.000,1.000
5.832,19.719,7.932,11.195,17.671,17.919,23.010,16.796,-0.160,0.994,0.096,0.793,0.671,1.007,60.000,20071.000,1.000
3.761,17.818,5.811,8.245,16.394,16.508,20.671,14.329,-0.160,0.991,0.091,0.793,0.549,0.916,60.000,20072.000,1.000
1.392,13.768,2.612,3.674,13.938,13.191,16.898,9.976,-0.159,0.993,0.096,0.885,0.519,0.946,60.000,20073.000,1.000
-0.284,9.455,0.367,0.244,11.464,9.819,13.359,6.074,-0.160,0.995,0.099,1.068,0.397,1.038,60.000,20074.000,1.000
-0.764,6.599,0.568,0.082,9.829,8.044,11.147,4.558,-0.158,0.995,0.097,1.312,0.244,0.946,60.000,20075.000,1.000
-0.239,5.565,2.688,2.681,9.282,7.987,10.286,5.271,-0.159,0.998,0.100,1.312,0.275,1.068,60.000,20076.000,1.000
0.777,5.710,4.973,5.779,9.671,8.733,10.188,6.701,-0.158,0.996,0.098,1.465,0.244,0.977,60.000,20077.000,1.000
1.823,6.435,6.383,7.821,10.707,9.643,10.329,7.918,-0.157,0.998,0.097,1.312,0.244,0.854,60.000,20078.000,1.000
2.558,7.557,7.264,8.942,11.987,10.731,10.449,9.169,-0.156,0.998,0.094,1.495,0.153,0.854,60.000,20079.000,1.000
2.728,8.847,8.172,9.681,13.041,11.961,10.413,10.694,-0.157,0.998,0.096,1.465,0.153,0.946,60.000,20080.000,1.000
2.318,9.786,8.779,9.699,13.632,12.818,10.259,11.832,-0.155,0.999,0.096,1.373,0.183,0.824,60.000,20081.000,1.000
1.805,10.147,8.489,8.474,14.024,12.954,10.409,11.849,-0.154,1.001,0.099,1.465,0.183,0.854,60.000,20082.000,1.000
1.972,10.477,7.708,6.763,14.737,12.926,11.464,11.180,-0.154,1.000,0.099,1.495,0.153,0.671,60.000,20083.000,1.000
3.249,11.560,7.738,6.376,15.956,13.802,13.617,11.158,-0.153,1.000,0.099,1.404,0.153,0.641,60.000,20084.000,1.000
5.359,13.441,9.295,8.249,17.383,15.993,16.384,12.472,-0.152,0.999,0.098,1.312,0.244,0.702,60.000,20085.000,1.000
7.532,15.123,11.422,11.147,18.540,18.662,18.907,14.287,-0.152,1.001,0.098,1.404,0.244,0.732,60.000,20086.000,1.000
8.902,15.308,12.205,12.685,18.979,20.364,20.408,15.152,-0.151,1.002,0.094,1.251,0.275,0.671,60.000,20087.000,1.000
9.035,13.666,10.764,11.735,18.437,20.409,20.586,14.715,-0.149,1.001,0.094,1.251,0.397,0.641,60.000,20088.000,1.000
8.375,11.373,8.316,9.524,17.179,19.599,19.865,14.201,-0.150,1.000,0.092,1.190,0.458,0.549,60.000,20089.000,1.000
7.912,10.081,6.861,8.070,16.048,19.349,19.133,14.889,-0.150,0.999,0.095,1.099,0.610,0.427,60.000,20090.000,1.000
8.222,10.272,6.982,7.841,15.741,19.959,18.884,16.381,-0.149,1.000,0.098,1.007,0.702,0.366,60.000,20091.000,1.000
8.955,10.854,7.398,7.508,15.989,20.044,18.532,16.848,-0.152,0.998,0.096,1.068,0.732,0.305,60.000,20092.000,1.000
9.322,10.467,6.761,5.947,15.727,17.982,16.903,15.059,-0.151,0.999,0.095,0.977,0.885,0.275,60.000,20093.000,1.000
8.885,8.879,5.254,3.698,14.168,13.712,13.561,11.688,-0.149,0.999,0.095,1.007,0.824,0.183,60.000,20094.000,1.000
7.793,6.931,4.011,2.008,11.566,8.816,9.500,8.386,-0.148,0.998,0.095,0.977,1.068,0.031,60.000,20095.000,1.000
6.583,5.597,3.607,1.193,9.118,5.246,6.679,6.186,-0.149,0.998,0.095,0.946,1.160,0.031,60.000,20096.000,1.000
5.921,5.310,3.735,0.662,8.064,4.056,6.651,5.240,-0.148,0.999,0.095,0.916,1.160,-0.092,60.000,20097.000,1.000
6.160,5.747,3.942,0.110,8.506,4.805,9.156,5.428,-0.150,0.998,0.098,0.824,1.221,-0.153,60.000,20098.000,1.000
7.052,6.119,4.151,-0.012,9.284,6.064,12.278,6.632,-0.152,0.998,0.098,0.793,1.373,-0.305,60.000,20099.000,1.000
8.062,5.773,4.479,0.745,9.239,6.592,14.149,8.446,-0.153,0.995,0.096,0.854,1.434,-0.397,60.000,20100.000,1.000
8.901,4.540,4.738,1.961,8.302,5.971,14.182,9.970,-0.150,0.995,0.095,0.916,1.495,-0.610,60.000,20101.000,1.000
9.630,2.699,4.496,2.693,7.254,4.536,12.907,10.382,-0.151,0.996,0.093,0.854,1.495,-0.702,60.000,20102.000,1.000
10.375,0.843,3.757,2.663,6.696,3.116,11.181,9.861,-0.151,0.997,0.092,0.885,1.678,-0.824,60.000,20103.000,1.000
11.031,-0.409,3.109,2.535,6.474,2.574,9.592,9.484,-0.151,0.996,0.094,0.732,1.740,-0.824,60.000,20104.000,1.000
11.224,-0.865,2.837,2.700,5.993,3.157,8.283,9.859,-0.153,0.997,0.094,0.793,1.709,-0.885,60.000,20105.000,1.000
10.591,-0.931,2.221,2.287,4.896,4.272,7.176,10.183,-0.152,0.997,0.094,0.793,1.709,-0.977,60.000,20106.000,1.000
9.149,-1.140,0.272,0.108,3.360,5.103,6.337,9.208,-0.153,0.997,0.094,0.732,1.740,-1.068,60.000,20107.000,1.000
7.386,-1.506,-2.851,-3.519,1.860,5.467,6.088,6.989,-0.153,0.997,0.096,0.732,1.801,-1.068,60.000,20108.000,1.000
5.921,-1.575,-5.667,-6.623,0.730,5.817,6.654,5.020,-0.152,0.998,0.095,0.641,1.740,-1.129,60.000,20109.000,1.000
5.057,-1.170,-6.834,-7.575,-0.005,6.395,7.768,4.488,-0.151,0.998,0.098,0.702,1.740,-1.221,60.000,20110.000,1.000
4.687,-0.756,-6.487,-6.785,-0.443,6.680,8.695,4.870,-0.151,0.999,0.099,0.824,1.770,-1.190,60.000,20111.000,1.000
4.534,-0.917,-5.851,-6.031,-0.676,5.838,8.602,4.555,-0.153,0.999,0.095,0.641,1.770,-1.160,60.000,20112.000,1.000
4.399,-1.691,-5.759,-6.396,-0.914,3.641,6.969,2.674,-0.156,0.998,0.096,0.549,1.801,-1.190,60.000,20113.000,1.000
