EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-0.005,-1.164,4.379,-1.495,0.645,5.893,4.546,4.458,-0.163,1.001,0.136,4.883,2.625,-2.686,60.000,18873.000,1.000
-1.018,-1.701,2.690,-3.398,0.486,5.832,5.435,3.755,-0.165,1.004,0.136,4.730,2.716,-2.533,60.000,18874.000,1.000
-1.898,-2.802,0.873,-5.064,-0.144,4.282,4.876,2.057,-0.168,1.009,0.139,4.608,2.777,-2.289,60.000,18875.000,1.000
-2.193,-3.734,0.425,-5.025,-0.824,2.514,3.659,0.730,-0.171,1.012,0.139,4.211,2.716,-2.014,60.000,18876.000,1.000
-1.908,-4.304,1.541,-3.441,-1.363,0.915,2.189,-0.016,-0.173,1.013,0.140,3.967,2.686,-1.862,60.000,18877.000,1.000
-1.188,-4.676,3.195,-1.722,-1.673,-0.914,0.421,-0.973,-0.175,1.013,0.140,3.571,2.533,-1.617,60.000,18878.000,1.000
-0.037,-4.780,4.498,-0.773,-1.679,-3.090,-1.682,-2.549,-0.177,1.015,0.144,3.235,2.411,-1.404,60.000,18879.000,1.000
1.483,-4.299,5.416,-0.237,-1.469,-4.986,-3.907,-4.156,-0.179,1.011,0.140,2.716,2.136,-1.251,60.000,18880.000,1.000
2.932,-3.266,6.097,0.450,-1.407,-5.963,-5.960,-5.068,-0.182,1.011,0.140,2.411,1.831,-1.007,60.000,18881.000,1.000
3.576,-2.376,6.007,0.844,-1.878,-6.123,-7.580,-5.376,-0.183,1.008,0.142,2.167,1.495,-0.824,60.000,18882.000,1.000
2.749,-2.590,4.153,-0.204,-3.012,-6.165,-8.586,-5.781,-0.183,1.005,0.139,1.831,1.251,-0.610,60.000,18883.000,1.000
0.180,-4.445,0.180,-3.127,-4.738,-6.671,-9.026,-6.593,-0.183,1.003,0.138,1.648,0.946,-0.488,60.000,18884.000,1.000
-3.763,-7.596,-4.922,-6.888,-6.868,-7.643,-9.162,-7.229,-0.183,1.001,0.137,1.404,0.549,-0.458,60.000,18885.000,1.000
-8.092,-11.016,-9.387,-9.884,-8.994,-8.697,-9.243,-6.905,-0.179,0.998,0.138,1.343,0.244,-0.275,60.000,18886.000,1.000
-11.553,-13.611,-11.920,-11.373,-10.429,-9.517,-9.247,-5.563,-0.179,0.995,0.139,1.282,0.000,-0.153,60.000,18887.000,1.000
-13.170,-14.674,-12.296,-11.685,-10.505,-9.901,-8.816,-3.813,-0.176,0.991,0.137,1.282,-0.397,0.000,60.000,18888.000,1.000
-12.644,-13.924,-10.841,-11.160,-9.049,-9.521,-7.528,-2.034,-0.175,0.990,0.135,1.404,-0.671,-0.061,60.000,18889.000,1.000
-10.370,-11.406,-7.780,-9.417,-6.503,-7.907,-5.256,0.091,-0.176,0.990,0.138,1.526,-0.854,0.031,60.000,18890.000,1.000
-7.168,-7.668,-3.525,-6.101,-3.629,-5.046,-2.384,2.853,-0.174,0.990,0.138,1.526,-1.068,0.092,60.000,18891.000,1.000
-4.053,-4.001,0.620,-2.117,-1.231,-2.035,0.134,5.496,-0.171,0.989,0.139,1.678,-1.160,0.214,60.000,18892.000,1.000
-1.971,-1.941,2.871,0.640,0.074,-0.578,1.162,6.502,-0.168,0.989,0.136,1.831,-1.404,0.214,60.000,18893.000,1.000
-1.421,-2.151,2.428,1.025,0.100,-1.480,0.156,5.120,-0.167,0.991,0.134,1.923,-1.526,0.214,60.000,18894.000,1.000
-2.234,-3.864,0.247,-0.278,-0.820,-3.899,-2.375,2.289,-0.165,0.992,0.134,1.984,-1.678,0.214,60.000,18895.000,1.000
-3.638,-5.511,-1.807,-1.567,-1.897,-6.136,-5.142,-0.163,-0.162,0.993,0.134,1.984,-1.709,0.336,60.000,18896.000,1.000
-4.620,-5.940,-2.488,-1.798,-2.227,-7.052,-6.804,-1.109,-0.159,0.997,0.134,2.197,-1.617,0.397,60.000,18897.000,1.000
-4.556,-5.149,-1.908,-1.247,-1.392,-6.686,-6.659,-0.740,-0.158,0.997,0.136,2.258,-1.709,0.458,60.000,18898.000,1.000
-3.620,-3.911,-0.930,-0.603,0.194,-5.638,-4.882,0.276,-0.156,0.998,0.138,2.167,-1.526,0.488,60.000,18899.000,1.000
-2.541,-2.929,-0.180,0.051,1.638,-4.300,-2.284,1.686,-0.155,1.000,0.135,2.197,-1.556,0.549,60.000,18900.000,1.000
-1.904,-2.465,0.232,1.009,2.304,-2.921,0.157,3.454,-0.152,0.998,0.131,2.258,-1.495,0.549,60.000,18901.000,1.000
-1.625,-2.463,0.406,2.151,2.300,-2.023,1.714,5.150,-0.152,0.998,0.134,2.289,-1.404,0.519,60.000,18902.000,1.000
-1.179,-2.723,0.478,2.941,2.262,-2.192,2.152,6.116,-0.151,0.996,0.134,2.380,-1.251,0.519,60.000,18903.000,1.000
-0.505,-3.201,0.525,3.031,2.468,-3.593,1.594,6.080,-0.152,0.999,0.133,2.502,-1.221,0.427,60.000,18904.000,1.000
-0.444,-4.227,0.402,2.474,2.249,-5.959,0.108,5.229,-0.152,1.000,0.135,2.441,-1.038,0.214,60.000,18905.000,1.000
-1.895,-6.161,-0.257,1.399,0.685,-8.821,-2.303,3.796,-0.152,0.998,0.134,2.350,-0.916,0.092,60.000,18906.000,1.000
-4.747,-8.854,-1.848,-0.333,-2.196,-11.608,-5.229,1.836,-0.153,0.999,0.135,2.380,-0.824,-0.031,60.000,18907.000,1.000
-7.874,-11.585,-4.471,-2.899,-5.256,-13.742,-7.702,-0.501,-0.154,0.999,0.134,2.319,-0.610,-0.244,60.000,18908.000,1.000
-10.015,-13.373,-7.498,-5.782,-7.221,-14.701,-8.804,-2.581,-0.152,0.996,0.134,2.319,-0.519,-0.458,60.000,18909.000,1.000
-10.439,-13.350,-9.541,-7.566,-7.497,-14.070,-8.295,-3.370,-0.154,0.997,0.134,2.411,-0.397,-0.610,60.000,18910.000,1.000
-8.910,-11.081,-9.179,-6.866,-6.035,-11.697,-6.464,-2.104,-0.155,0.996,0.134,2.319,-0.305,-0.885,60.000,18911.000,1.000
-5.418,-6.800,-5.940,-3.592,-2.897,-7.918,-3.601,1.003,-0.154,0.997,0.137,2.411,-0.336,-1.099,60.000,18912.000,1.000
